x,y
22.7387,35500
23.1583,35450
23.5855,35400
24.0207,35350
24.4638,35300
24.9151,35250
25.3748,35200
25.8428,35150
26.3196,35100
26.805,35050
27.2995,35000
27.803,34950
28.3158,34900
28.838,34850
29.3699,34800
29.9115,34750
30.4631,34700
31.0249,34650
31.597,34600
32.1796,34550
32.7729,34500
33.3772,34450
33.9926,34400
34.6193,34350
35.2575,34300
35.9075,34250
36.5694,34200
37.2435,34150
37.93,34100
38.6291,34050
39.341,34000
40.066,33950
40.8044,33900
41.5564,33850
42.3221,33800
43.1019,33750
43.8961,33700
44.7048,33650
45.5284,33600
46.3671,33550
47.2213,33500
48.0911,33450
48.9769,33400
49.8789,33350
50.7975,33300
51.7329,33250
52.6856,33200
53.6557,33150
54.6436,33100
55.6496,33050
56.6741,33000
57.7173,32950
58.7797,32900
59.8616,32850
60.9633,32800
62.0852,32750
63.2276,32700
64.391,32650
65.5757,32600
66.7821,32550
68.0106,32500
69.2616,32450
70.5355,32400
71.8327,32350
73.1536,32300
74.4988,32250
75.8685,32200
77.2633,32150
78.6836,32100
80.1299,32050
81.6026,32000
83.1022,31950
84.6292,31900
86.1841,31850
87.7674,31800
89.3797,31750
91.0214,31700
92.693,31650
94.3952,31600
96.1284,31550
97.8932,31500
99.6902,31450
101.52,31400
103.383,31350
105.28,31300
107.212,31250
109.179,31200
111.181,31150
113.22,31100
115.297,31050
117.411,31000
119.563,30950
121.755,30900
123.986,30850
126.258,30800
128.571,30750
130.927,30700
133.325,30650
135.766,30600
138.252,30550
140.783,30500
143.36,30450
145.983,30400
148.655,30350
151.374,30300
154.143,30250
156.962,30200
159.831,30150
162.753,30100
165.728,30050
168.756,30000
171.839,29950
174.978,29900
178.173,29850
181.426,29800
184.737,29750
188.109,29700
191.541,29650
195.034,29600
198.591,29550
202.212,29500
205.898,29450
209.65,29400
213.469,29350
217.357,29300
221.315,29250
225.343,29200
229.444,29150
233.619,29100
237.868,29050
242.193,29000
246.596,28950
251.077,28900
255.638,28850
260.281,28800
265.006,28750
269.816,28700
274.711,28650
279.694,28600
284.765,28550
289.926,28500
295.179,28450
300.525,28400
305.967,28350
311.504,28300
317.14,28250
322.875,28200
328.712,28150
334.652,28100
340.697,28050
346.848,28000
353.108,27950
359.478,27900
365.96,27850
372.556,27800
379.268,27750
386.098,27700
393.047,27650
400.118,27600
407.313,27550
414.633,27500
422.082,27450
429.66,27400
437.37,27350
445.214,27300
453.195,27250
461.315,27200
469.575,27150
477.978,27100
486.526,27050
495.223,27000
504.069,26950
513.068,26900
522.222,26850
531.533,26800
541.005,26750
550.638,26700
560.437,26650
570.403,26600
580.539,26550
590.848,26500
601.333,26450
611.995,26400
622.839,26350
633.867,26300
645.081,26250
656.484,26200
668.08,26150
679.871,26100
691.86,26050
704.05,26000
716.445,25950
729.047,25900
741.858,25850
754.884,25800
768.125,25750
781.587,25700
795.271,25650
809.182,25600
823.321,25550
837.694,25500
852.302,25450
867.15,25400
882.24,25350
897.576,25300
913.162,25250
929.001,25200
945.097,25150
961.452,25100
978.071,25050
994.958,25000
1012.11,24950
1029.55,24900
1047.25,24850
1065.25,24800
1083.52,24750
1102.09,24700
1120.94,24650
1140.1,24600
1159.55,24550
1179.31,24500
1199.38,24450
1219.76,24400
1240.45,24350
1261.46,24300
1282.8,24250
1304.46,24200
1326.46,24150
1348.78,24100
1371.45,24050
1394.46,24000
1417.82,23950
1441.52,23900
1465.58,23850
1490,23800
1514.78,23750
1539.92,23700
1565.44,23650
1591.33,23600
1617.59,23550
1644.24,23500
1671.27,23450
1698.69,23400
1726.5,23350
1754.71,23300
1783.31,23250
1812.32,23200
1841.74,23150
1871.57,23100
1901.81,23050
1932.47,23000
1963.55,22950
1995.05,22900
2026.99,22850
2059.35,22800
2092.15,22750
2125.38,22700
2159.06,22650
2193.18,22600
2227.74,22550
2262.76,22500
2298.23,22450
2334.15,22400
2370.53,22350
2407.38,22300
2444.68,22250
2482.45,22200
2520.69,22150
2559.4,22100
2598.58,22050
2638.23,22000
2678.36,21950
2718.97,21900
2760.06,21850
2801.63,21800
2843.68,21750
2886.21,21700
2929.23,21650
2972.74,21600
3016.73,21550
3061.21,21500
3106.17,21450
3151.63,21400
3197.57,21350
3244,21300
3290.93,21250
3338.33,21200
3386.23,21150
3434.62,21100
3483.49,21050
3532.84,21000
3582.68,20950
3633.01,20900
3683.81,20850
3735.1,20800
3786.86,20750
3839.1,20700
